ID,positions,company,salary,location,req,post_date
1,Senior Fullstack Software Engineer 🎈 VERIFIED,Blotato,$80k - $120k,Worldwide,Developer JavaScript Typescript,2025-06-09
2,Typescript Engineer,wander.com,$50k - $200k,Worldwide,Developer,2025-05-26
3,Guest Support Agent 🎈 VERIFIED,HostGenius,$20k - $20k,Latin America,Customer Support,2025-06-10
4,Senior Staff Engineer Infrastructure,Pryon,$70k - $125k,Probably worldwide,Design Security Architect,2025-06-10
5,Social Media Manager,Caiz,$38k - $73k,Probably worldwide,Manager Crypto System,2025-06-10
6,Lead Data Engineer,Open Architects,$120k - $140k,United States,Engineer Developer DevOps,2025-06-03
7,Senior Backend Engineer,MoonPay,$60k - $100k,Probably worldwide,Web3 Crypto NFT,2025-06-09
8,Senior UI Engineer Senior Frontend Engineer,Toku,$70k - $125k,Probably worldwide,Front End UI Design,2025-06-09
9,Blockchain Engineer,MoonPay,$60k - $100k,Probably worldwide,Web3 Defi Crypto,2025-06-09
10,Senior Crypto and Open Source Intelligence Specialist,Ontario Securities Commission,$40k - $80k,CA ON Toronto,Crypto Cryptocurrency System,2025-06-09
11,2N,Senior Systems Engineer Autonomous Vehicle Infrastructure,,2100 NVIDIA USA,🇺🇸 United States💰 $65k - $130k* Design Security Python,2025-06-08
12,Javascript Fullstack Engineer Senior 🎈,Lumenalta,$50k - $90k,Worldwide Europe,Developer Engineer JavaScript,2025-06-08
13,1Y,Senior Production Engineer,,110 Yahoo Holdings Inc,🇺🇸 United States💰 $68k - $128k* Design Security Recruiter,2025-06-08
14,Associate Senior Associate Underwriting Real Estate Finance,Forbright Bank,$43k - $93k,Los Angeles CA,Embedded Growth Financial,2025-06-07
15,Software Engineer,ControlShift,,Europe Argentina Canada Switzerland United Kingdom,Developer Ruby Vue,2025-06-06
16,Sales Development Representative,Colibri Group,$48k - $68k,1 Remote,Software Edu Microsoft,2025-06-06
17,Business Development Executive,Notabene,$40k - $70k,Probably worldwide,SaaS Crypto Cryptocurrency,2025-06-06
18,Tech Cofounder CTO VERIFIED,Founders Factory,$60k - $100k,Europe,Developer Full Stack API,2025-05-29
19,Rater the United States VERIFIED,TELUS Digital,$10k - $10k,United States Part time,Quality Assurance Other,2025-06-05
20,Senior Backend Software Engineer,Bitwise Asset Management,$68k - $113k,Worldwide,Software Design Crypto,2025-06-05
21,Senior Application Security Engineer,Loop,$68k - $123k,Probably worldwide,Security Technical Support,2025-06-05
22,Virtual Assistant Latin America,Walter,$10k - $10k,Latin America Contractor,English,2025-06-05
23,Advogada Junior Trabalhista,Neon Pagamentos,$20k - $55k,Remoto,Junior,2025-06-04
24,Senior Backend Engineer VERIFIED,HockeyStack,$80k - $100k,Worldwide,Developer JavaScript Backend,2025-05-28
25,Senior AI Marketing Video Editor VERIFIED,EverAI,$50k - $60k,Worldwide,Marketing Full Time Video,2025-06-03
26,Sales Development Representative Europe VERIFIED,Hostaway,$40k - $70k,Probably worldwide,SaaS Support Growth,2025-06-03
27,Senior Product Manager Payments Europe VERIFIED,Hostaway,$50k - $95k,Probably worldwide,Manager SaaS Security,2025-06-03
28,Account Executive,Leadr,$38k - $55k,United States,HR Teach Training,2025-06-03
29,Sales Engineer EN VERIFIED,Tameson,$48k - $70k,Probably worldwide,Technical Software Marketing,2025-06-03
30,Social Media Manager,Caiz,$40k - $75k,Probably worldwide,Manager Crypto System,2025-06-03
31,Senior DevOps Engineer,EasyPost,$68k - $95k,Worldwide,Design Security Architect,2025-06-02
32,Data Analyst Canada Wide,Newton,$60k - $100k,Canada,Analyst Crypto Python,2025-06-02
33,Product Engineer,Zen Educate,$70k - $123k,United Kingdom,Design Amazon React,2025-06-02
34,Data Scientist,The Voleon Group,$20k - $60k,United States Worldwide,Support Software Financial,2025-06-01
35,Principal DevSecOps Engineer,Second Front Systems,$45k - $78k,Worldwide,SaaS Security Game,2025-05-31
